Date,City,total,kia_hyundai,others
2021-05-01,"Riverside County, CA",516,11,505
2021-05-01,"Austin, TX",396,17,379
2021-05-01,"San Jose, CA",506,11,495
2021-05-01,"Milwaukee, WI",873,587,286
2021-05-01,"Los Angeles, CA",1832,254,1578
2021-05-01,"Minneapolis, MN",428,26,402
2021-05-01,"Houston, TX",734,31,703
2021-06-01,Portland,651,17,634
2021-06-01,Chicago,834,47,787
2021-06-01,Louisville,380,16,364
2021-06-01,San Diego,501,16,485
2021-06-01,Dallas,1038,24,1014
2021-06-01,"Riverside County, CA",503,15,488
2021-06-01,"Austin, TX",386,15,371
2021-06-01,"San Jose, CA",545,10,535
2021-06-01,"Milwaukee, WI",906,627,279
2021-06-01,"Los Angeles, CA",1800,240,1560
2021-06-01,"Minneapolis, MN",458,25,433
2021-06-01,"Houston, TX",696,35,661
2021-07-01,Portland,741,18,723
2021-07-01,Chicago,838,53,785
2021-07-01,Louisville,358,22,336
2021-07-01,San Diego,489,23,466
2021-07-01,Dallas,1126,47,1079
2021-07-01,"Riverside County, CA",488,6,482
2021-07-01,"Austin, TX",407,18,389
2021-07-01,"San Jose, CA",541,6,535
2021-07-01,"Milwaukee, WI",1043,736,307
2021-07-01,"Los Angeles, CA",1845,297,1548
2021-07-01,"Minneapolis, MN",435,17,418
2021-07-01,"Houston, TX",653,33,620
2021-08-01,Portland,804,20,784
2021-08-01,Chicago,910,55,855
2021-08-01,Louisville,348,22,326
2021-08-01,San Diego,477,30,447
2021-08-01,Dallas,1135,33,1102
2021-08-01,"Riverside County, CA",437,11,426
2021-08-01,"Austin, TX",444,22,422
2021-08-01,"San Jose, CA",537,10,527
2021-08-01,"Milwaukee, WI",1136,824,312
2021-08-01,"Los Angeles, CA",1951,344,1607
2021-08-01,"Minneapolis, MN",433,14,419
2021-08-01,"Houston, TX",711,45,666
2021-09-01,Portland,897,14,883
2021-09-01,Chicago,1016,69,947
2021-09-01,Louisville,327,17,310
2021-09-01,San Diego,539,17,522
2021-09-01,Dallas,1096,35,1061
2021-09-01,"Riverside County, CA",490,10,480
2021-09-01,"Austin, TX",420,22,398
2021-09-01,"San Jose, CA",558,7,551
2021-09-01,"Milwaukee, WI",904,592,312
2021-09-01,"Los Angeles, CA",2050,260,1790
2021-09-01,"Minneapolis, MN",505,20,485
2021-09-01,"Houston, TX",660,23,637
2021-10-01,Portland,1037,27,1010
2021-10-01,Chicago,1163,68,1095
2021-10-01,Louisville,329,20,309
2021-10-01,San Diego,665,36,629
2021-10-01,Dallas,1117,61,1056
2021-10-01,"Riverside County, CA",580,16,564
2021-10-01,"Austin, TX",435,15,420
2021-10-01,"San Jose, CA",580,2,578
2021-10-01,"Milwaukee, WI",870,554,316
2021-10-01,"Los Angeles, CA",2330,338,1992
2021-10-01,"Minneapolis, MN",535,23,512
2021-10-01,"Houston, TX",625,29,596
2021-11-01,Portland,1140,27,1113
2021-11-01,Chicago,1065,65,1000
2021-11-01,Louisville,377,24,353
2021-11-01,San Diego,516,20,496
2021-11-01,Dallas,1076,33,1043
2021-11-01,"Riverside County, CA",544,14,530
2021-11-01,"Austin, TX",422,15,407
2021-11-01,"San Jose, CA",614,7,607
2021-11-01,"Milwaukee, WI",841,529,312
2021-11-01,"Los Angeles, CA",2234,429,1805
2021-11-01,"Minneapolis, MN",555,31,524
2021-11-01,"Houston, TX",597,26,571
2021-12-01,Portland,1041,19,1022
2021-12-01,Chicago,1096,71,1025
2021-12-01,Louisville,302,19,283
2021-12-01,San Diego,497,17,480
2021-12-01,Dallas,1146,21,1125
2021-12-01,"Riverside County, CA",583,18,565
2021-12-01,"Austin, TX",447,25,422
2021-12-01,"San Jose, CA",622,6,616
2021-12-01,"Milwaukee, WI",799,481,318
2021-12-01,"Los Angeles, CA",2308,390,1918
2021-12-01,"Minneapolis, MN",621,65,556
2021-12-01,"Houston, TX",633,27,606
2022-01-01,Portland,1027,39,988
2022-01-01,Chicago,1107,85,1022
2022-01-01,Louisville,374,19,355
2022-01-01,San Diego,518,17,501
2022-01-01,Dallas,1172,31,1141
2022-01-01,"Riverside County, CA",541,20,521
2022-01-01,"Austin, TX",431,14,417
2022-01-01,"San Jose, CA",675,10,665
2022-01-01,"Milwaukee, WI",830,420,410
2022-01-01,"Los Angeles, CA",2096,340,1756
2022-01-01,"Minneapolis, MN",564,35,529
2022-01-01,"Houston, TX",719,34,685
2022-02-01,Portland,803,29,774
2022-02-01,Chicago,963,61,902
2022-02-01,Louisville,311,22,289
2022-02-01,San Diego,474,23,451
2022-02-01,Dallas,885,31,854
2022-02-01,"Riverside County, CA",435,11,424
2022-02-01,"Austin, TX",415,22,393
2022-02-01,"San Jose, CA",526,9,517
2022-02-01,"Milwaukee, WI",648,362,286
2022-02-01,"Los Angeles, CA",1905,320,1585
2022-02-01,"Minneapolis, MN",531,31,500
2022-02-01,"Houston, TX",592,41,551
2022-03-01,Portland,1040,32,1008
2022-03-01,Chicago,1073,65,1008
2022-03-01,Louisville,359,20,339
2022-03-01,San Diego,503,17,486
2022-03-01,Dallas,1127,29,1098
2022-03-01,"Riverside County, CA",565,14,551
2022-03-01,"Austin, TX",485,12,473
2022-03-01,"San Jose, CA",550,11,539
2022-03-01,"Milwaukee, WI",691,411,280
2022-03-01,"Los Angeles, CA",2127,395,1732
2022-03-01,"Minneapolis, MN",465,35,430
2022-03-01,"Houston, TX",618,31,587
2022-04-01,Portland,892,32,860
2022-04-01,Chicago,1001,65,936
2022-04-01,Louisville,309,11,298
2022-04-01,San Diego,514,23,491
2022-04-01,Dallas,1051,36,1015
2022-04-01,"Riverside County, CA",537,21,516
2022-04-01,"Austin, TX",469,16,453
2022-04-01,"San Jose, CA",522,13,509
2022-04-01,"Milwaukee, WI",650,393,257
2022-04-01,"Los Angeles, CA",2214,441,1773
2022-04-01,"Minneapolis, MN",387,57,330
2022-04-01,"Houston, TX",647,51,596
2022-05-01,Portland,849,31,818
2022-05-01,Chicago,1030,45,985
2022-05-01,Louisville,352,16,336
2022-05-01,San Diego,513,50,463
2022-05-01,Dallas,1192,25,1167
2022-05-01,"Riverside County, CA",532,9,523
2022-05-01,"Austin, TX",387,16,371
2022-05-01,"San Jose, CA",561,6,555
2022-05-01,"Milwaukee, WI",715,433,282
2022-05-01,"Los Angeles, CA",2227,471,1756
2022-05-01,"Minneapolis, MN",491,98,393
2022-05-01,"Houston, TX",697,36,661
2022-06-01,Portland,829,43,786
2022-06-01,Chicago,1138,127,1011
2022-06-01,Louisville,352,32,320
2022-06-01,San Diego,533,48,485
2022-06-01,Dallas,1077,29,1048
2022-06-01,"Riverside County, CA",463,14,449
2022-06-01,"Austin, TX",420,21,399
2022-06-01,"San Jose, CA",515,8,507
2022-06-01,"Milwaukee, WI",779,496,283
2022-06-01,"Los Angeles, CA",2015,396,1619
2022-06-01,"Minneapolis, MN",718,249,469
2022-06-01,"Houston, TX",828,52,776
2022-07-01,Portland,862,84,778
2022-07-01,Chicago,1761,443,1318
2022-07-01,Louisville,419,76,343
2022-07-01,San Diego,559,61,498
2022-07-01,Dallas,1230,72,1158
2022-07-01,"Riverside County, CA",478,18,460
2022-07-01,"Austin, TX",494,35,459
2022-07-01,"San Jose, CA",615,20,595
2022-07-01,"Milwaukee, WI",787,470,317
2022-07-01,"Los Angeles, CA",2116,488,1628
2022-07-01,"Minneapolis, MN",722,246,476
2022-07-01,"Houston, TX",901,80,821
2022-08-01,Portland,939,183,756
2022-08-01,Chicago,2112,660,1452
2022-08-01,Louisville,369,60,309
2022-08-01,San Diego,494,51,443
2022-08-01,Dallas,1167,48,1119
2022-08-01,"Riverside County, CA",502,12,490
2022-08-01,"Austin, TX",475,40,435
2022-08-01,"San Jose, CA",636,28,608
2022-08-01,"Milwaukee, WI",702,388,314
2022-08-01,"Los Angeles, CA",2172,491,1681
2022-08-01,"Minneapolis, MN",675,205,470
2022-08-01,"Houston, TX",803,92,711
2022-09-01,Portland,861,124,737
2022-09-01,Chicago,2411,882,1529
2022-09-01,Louisville,361,57,304
2022-09-01,San Diego,561,93,468
2022-09-01,Dallas,1108,54,1054
2022-09-01,"Riverside County, CA",540,14,526
2022-09-01,"Austin, TX",470,53,417
2022-09-01,"San Jose, CA",683,40,643
2022-09-01,"Milwaukee, WI",546,286,260
2022-09-01,"Los Angeles, CA",2054,428,1626
2022-09-01,"Minneapolis, MN",714,301,413
2022-09-01,"Houston, TX",722,81,641
2022-10-01,Portland,931,172,759
2022-10-01,Chicago,3182,1431,1751
2022-10-01,Louisville,459,149,310
2022-10-01,San Diego,628,76,552
2022-10-01,Dallas,1160,57,1103
2022-10-01,"Riverside County, CA",584,35,549
2022-10-01,"Austin, TX",425,27,398
2022-10-01,"San Jose, CA",576,46,530
2022-10-01,"Milwaukee, WI",624,372,252
2022-10-01,"Los Angeles, CA",2053,420,1633
2022-10-01,"Minneapolis, MN",862,462,400
2022-10-01,"Houston, TX",795,150,645
2022-11-01,Portland,966,245,721
2022-11-01,Chicago,2952,1418,1534
2022-11-01,Louisville,401,122,279
2022-11-01,San Diego,510,55,455
2022-11-01,Dallas,1075,61,1014
2022-11-01,"Riverside County, CA",552,25,527
2022-11-01,"Austin, TX",420,33,387
2022-11-01,"San Jose, CA",476,40,436
2022-11-01,"Milwaukee, WI",533,303,230
2022-11-01,"Los Angeles, CA",1877,386,1491
2022-11-01,"Minneapolis, MN",780,447,333
2022-11-01,"Houston, TX",746,94,652
2022-12-01,Portland,895,301,594
2022-12-01,Chicago,2720,1178,1542
2022-12-01,Louisville,464,172,292
2022-12-01,San Diego,543,49,494
2022-12-01,Dallas,1177,109,1068
2022-12-01,"Riverside County, CA",500,29,471
2022-12-01,"Austin, TX",505,68,437
2022-12-01,"San Jose, CA",592,90,502
2022-12-01,"Milwaukee, WI",538,287,251
2022-12-01,"Los Angeles, CA",1866,408,1458
2022-12-01,"Minneapolis, MN",714,324,390
2022-12-01,"Houston, TX",857,123,734
2023-01-01,Portland,983,367,616
2023-01-01,Chicago,2814,1229,1585
2023-01-01,Louisville,570,260,310
2023-01-01,San Diego,550,59,491
2023-01-01,Dallas,1207,81,1126
2023-01-01,"Riverside County, CA",545,51,494
2023-01-01,"Austin, TX",446,88,358
2023-01-01,"San Jose, CA",594,93,501
2023-01-01,"Milwaukee, WI",593,325,268
2023-01-01,"Los Angeles, CA",1941,419,1522
2023-01-01,"Minneapolis, MN",821,419,402
2023-02-01,Portland,802,280,522
2023-02-01,Chicago,2169,877,1292
2023-02-01,Louisville,588,297,291
2023-02-01,San Diego,483,78,405
2023-02-01,Dallas,1037,116,921
2023-02-01,"Riverside County, CA",420,66,354
2023-02-01,"Austin, TX",499,142,357
2023-02-01,"San Jose, CA",673,148,525
2023-02-01,"Milwaukee, WI",430,203,227
2023-02-01,"Los Angeles, CA",1775,465,1310
2023-02-01,"Minneapolis, MN",921,560,361
2023-03-01,Portland,747,227,520
2023-03-01,Chicago,2320,867,1453
2023-03-01,Louisville,493,227,266
2023-03-01,San Diego,501,91,410
2023-03-01,Dallas,1258,173,1085
2023-03-01,"Riverside County, CA",447,45,402
2023-03-01,"Austin, TX",579,170,409
2023-03-01,"San Jose, CA",622,134,488
2023-03-01,"Milwaukee, WI",411,206,205
2023-03-01,"Los Angeles, CA",1994,489,1505
2023-03-01,"Minneapolis, MN",1017,651,366
2023-04-01,Portland,675,166,509
2023-04-01,Chicago,2289,810,1479
2023-04-01,Louisville,552,267,285
2023-04-01,San Diego,508,92,416
2023-04-01,Dallas,1561,303,1258
2023-04-01,"Riverside County, CA",446,59,387
2023-04-01,"Austin, TX",532,177,355
2023-04-01,"San Jose, CA",607,103,504
2023-04-01,"Milwaukee, WI",460,260,200
2023-04-01,"Los Angeles, CA",1791,474,1317
2023-04-01,"Minneapolis, MN",907,586,321
2023-05-01,Portland,647,148,499
2023-05-01,Chicago,2427,810,1617
2023-05-01,Louisville,541,236,305
2023-05-01,San Diego,533,129,404
2023-05-01,Dallas,1902,486,1416
2023-05-01,"Riverside County, CA",509,80,429
2023-05-01,"Austin, TX",617,255,362
2023-05-01,"San Jose, CA",589,93,496
2023-05-01,"Milwaukee, WI",531,277,254
2023-05-01,"Los Angeles, CA",1890,496,1394
2023-05-01,"Minneapolis, MN",804,451,353
2023-06-01,Portland,607,171,436
2023-06-01,Chicago,2552,816,1736
2023-06-01,Louisville,517,241,276
2023-06-01,San Diego,537,110,427
2023-06-01,Dallas,1605,289,1316
2023-06-01,"Riverside County, CA",515,92,423
2023-06-01,"Austin, TX",653,267,386
2023-06-01,"San Jose, CA",684,185,499
2023-06-01,"Milwaukee, WI",535,299,236
2023-06-01,"Los Angeles, CA",1890,538,1352
2023-06-01,"Minneapolis, MN",560,230,330
2023-07-01,Portland,605,156,449
2023-07-01,Chicago,2609,802,1807
2023-07-01,Louisville,627,335,292
2023-07-01,San Diego,609,84,525
2023-07-01,Dallas,1874,353,1521
2023-07-01,"Riverside County, CA",479,78,401
2023-07-01,"Austin, TX",574,243,331
2023-07-01,"San Jose, CA",732,266,466
2023-07-01,"Milwaukee, WI",530,228,302
2023-07-01,"Los Angeles, CA",2150,719,1431
2023-07-01,"Minneapolis, MN",700,332,368
2023-08-01,Chicago,2268,680,1588
2023-08-01,San Diego,742,103,639
2023-08-01,Dallas,1691,278,1413
2023-08-01,"Riverside County, CA",442,56,386
2023-08-01,"Austin, TX",671,333,338
2023-08-01,"San Jose, CA",490,118,372
2023-08-01,"Milwaukee, WI",523,242,281
2023-08-01,"Los Angeles, CA",2153,713,1440
2023-08-01,"Minneapolis, MN",773,396,377
